"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.597086230E-1,-9.940609336E-3,-5.446933210E-3,-6.538391113E-3,1.308569271E-2
5.678847390E-1,-2.709884197E-3,-6.579533219E-4,-8.933067322E-3,9.358208520E-3
5.760597390E-1,-5.299512297E-3,1.735955477E-3,-1.749038696E-3,5.844442519E-3
5.842331620E-1,-1.497473195E-2,-1.028372347E-2,-4.141807556E-3,1.863201909E-2
5.924087000E-1,4.178397357E-3,1.589648426E-3,-6.536483765E-3,7.919066018E-3
6.005850460E-1,-5.398407578E-3,-3.198757768E-3,-1.748085022E-3,6.513881860E-3
6.087615460E-1,-7.694654167E-3,1.121544093E-2,-4.141807556E-3,1.421788971E-2
6.169382390E-1,1.783706248E-3,4.033118486E-3,-6.536483765E-3,7.885003025E-3
6.251144690E-1,4.226408899E-3,4.131369293E-3,5.434036255E-3,8.028667040E-3
6.332912000E-1,-5.447868258E-3,-6.083473563E-4,-8.931159973E-3,1.047926398E-2
6.414673920E-1,-7.842566818E-3,2.103770524E-2,-4.143714905E-3,2.283114691E-2
6.496584690E-1,1.839601249E-2,1.624901593E-2,-1.132583618E-2,2.703180274E-2
6.578542770E-1,4.029840231E-3,1.380641013E-2,-8.931159973E-3,1.692992001E-2
6.660305460E-1,-3.153245896E-3,-4.112273455E-4,-1.372051239E-2,1.408419426E-2
6.742069310E-1,-3.300175071E-3,6.820350885E-3,-6.538391113E-3,1.000794185E-2
6.823838150E-1,1.390274614E-3,-3.132745624E-4,-1.850891113E-2,1.856369564E-2
6.905591230E-1,-9.549409151E-4,2.612092346E-2,-1.132774353E-2,2.848740648E-2
6.987363150E-1,1.390751451E-3,-4.808090627E-3,-6.541252136E-3,8.236498321E-3
7.069123920E-1,8.622821420E-3,-2.512127161E-3,-1.611709595E-2,1.845059928E-2
7.150892380E-1,3.784947097E-3,-9.645491838E-3,-4.145622253E-3,1.116008608E-2
7.232649690E-1,-3.446150571E-3,-7.153593004E-3,6.418228149E-4,7.966290426E-3
7.314408150E-1,8.524380624E-3,9.557135403E-3,-6.540298462E-3,1.437982636E-2
7.396165840E-1,-5.792338401E-3,2.325840294E-3,-4.145622253E-3,7.493123587E-3
7.478126230E-1,-1.101631671E-3,2.423755825E-3,-1.372337341E-2,1.397924041E-2
7.559879690E-1,-1.805692911E-2,9.557373822E-3,-1.850986481E-2,2.756830025E-2
7.641648150E-1,-8.578076959E-3,1.274943352E-4,-4.145622253E-3,9.528160525E-3
7.723427000E-1,5.787130445E-3,1.688691229E-2,-2.090549469E-2,2.748996896E-2
7.805191610E-1,5.110312998E-2,4.183961749E-1,-2.156524181E0,2.197330980E0
7.886971230E-1,-2.926472388E-2,2.248228043E-1,5.871973038E-1,6.294460985E-1
7.968738530E-1,-1.627345756E-2,-5.128876567E-1,-1.349685669E0,1.443942512E0
8.050486990E-1,-5.117336512E-1,-5.832091346E-2,-1.447864532E0,1.536744729E0
8.132240840E-1,8.659526706E-2,3.310364485E-1,7.979059219E-1,8.681807017E-1
8.213993150E-1,-1.640803367E-1,2.446344644E-1,-1.153382301E0,1.190402920E0
8.295745840E-1,5.339989662E-1,4.677543789E-2,7.212848663E-1,8.986627265E-1
8.377501610E-1,-2.595234513E-1,-2.727223039E-1,-7.104549408E-1,8.040373746E-1
8.459454300E-1,8.931956440E-2,-9.832675010E-2,9.295806885E-1,9.390241694E-1
8.541396990E-1,-1.309522986E-1,9.556830674E-2,-1.038463593E0,1.051041597E0
8.623140840E-1,2.987508848E-2,1.403561980E-1,6.614227295E-1,6.768104685E-1
8.704891990E-1,-1.165798455E-1,9.885676205E-2,-1.095113754E-1,1.880326066E-1
8.786654680E-1,-1.814004220E-2,-1.047266275E-1,-2.100677490E-1,2.354255441E-1
8.868414300E-1,7.631827891E-2,-1.282793730E-1,1.634292603E-1,2.213350410E-1
8.950178910E-1,-2.564092912E-2,-3.763873875E-2,-1.957015991E-1,2.009309528E-1
9.032139680E-1,5.673706159E-2,1.160156131E-1,2.161026001E-1,2.517519621E-1
9.113900070E-1,3.900010139E-2,7.961360365E-2,-2.172498703E-1,2.346419399E-1
9.195645070E-1,1.102930903E-1,-2.782223374E-2,5.090141296E-2,1.246178009E-1
9.277396610E-1,9.413897991E-3,-8.513934910E-2,6.047821045E-2,1.048567794E-1
9.359147760E-1,2.887285128E-2,-5.659209564E-2,-9.993362427E-2,1.184189009E-1
9.440902370E-1,-3.368105367E-2,4.396385700E-2,-4.247093201E-2,6.979265122E-2
9.522860070E-1,1.325652376E-2,7.526791096E-2,1.442794800E-1,1.632714371E-1
9.604618910E-1,-1.077606305E-1,1.754554361E-2,-1.478157043E-1,1.837652907E-1
9.686382760E-1,3.983676434E-3,-5.643004552E-2,8.442306519E-2,1.016241785E-1
9.768123140E-1,-2.439618111E-2,-7.806794345E-2,-4.162788391E-3,8.189692458E-2
9.849869300E-1,2.343739197E-2,3.910178691E-2,-2.810287476E-2,5.355401620E-2
9.931625450E-1,-2.219886333E-2,5.830413103E-2,2.935791016E-2,6.894960563E-2
1.001338237E0,7.379625738E-2,4.629638791E-2,5.414009094E-3,8.728433210E-2
1.009515199E0,3.058867529E-2,-3.501705825E-2,5.414009094E-3,4.680996602E-2
1.017691276E0,3.778518364E-2,-4.927892610E-2,-1.374053955E-2,6.359980415E-2
1.025867660E0,-1.014782861E-2,-3.936029971E-3,-1.613330841E-2,1.946161344E-2
1.034044199E0,2.314547822E-2,3.666028380E-2,-6.554603577E-3,4.384806037E-2
1.042218814E0,-1.747395843E-2,3.923489153E-2,-1.768112183E-3,4.298653461E-2
1.050413545E0,-2.710072882E-2,3.469251096E-3,3.414440155E-2,4.373014250E-2
1.058588083E0,-2.705114521E-2,-3.483821452E-2,5.413055420E-3,4.443834849E-2
1.066765006E0,-1.253800839E-2,-2.047349513E-2,-4.007720947E-2,4.671775226E-2
1.074940352E0,-2.485236153E-2,1.798091084E-2,1.498985291E-2,3.414159806E-2
1.083115083E0,6.664000452E-3,3.693865985E-2,-3.289413452E-2,4.990889279E-2
1.091290121E0,-2.959031612E-2,-4.715294391E-2,-7.493223190E0,7.493429973E0
1.099465044E0,2.280573845E0,2.238308340E-1,-9.131401062E0,9.414542084E0
1.107640852E0,8.948613703E-2,4.728250802E-1,-7.977391243E0,7.991892290E0
1.115816275E0,8.907461166E-1,1.854225993E0,-3.709964752E-1,2.090268180E0
1.123992083E0,-9.656453878E-2,2.790376246E-1,7.662601471E-1,8.211828780E-1
1.132168737E0,-4.727920592E-1,-7.399671674E-1,1.295381546E0,1.564959134E0
1.140346275E0,1.365172744E0,4.128680229E-1,-1.146708488E0,1.830053820E0
1.148541044E0,1.810218990E-1,-4.933100045E-1,6.489353180E-1,8.350094223E-1
1.156718429E0,-3.485283852E-1,1.295266449E-1,-4.140939713E-1,5.565276310E-1
1.164894890E0,-1.443458498E-1,2.010743469E-1,6.273841858E-1,6.744460941E-1
1.173071275E0,-1.970844269E-1,4.647706077E-2,4.789390564E-1,5.199855846E-1
1.181249198E0,-1.570992023E-1,1.035275534E-1,-7.157678604E-1,7.400822547E-1
1.189426890E0,-1.612271555E-2,-1.854723692E-1,5.890693665E-1,6.177885238E-1
1.197602813E0,2.468028963E-1,8.673116565E-2,-4.428281784E-1,5.143255392E-1
1.205779736E0,1.398049444E-1,4.250289500E-2,1.485471725E-1,2.083702979E-1
1.213955967E0,2.019634247E-1,2.227798998E-1,6.236743927E-2,3.070990169E-1
1.222131198E0,2.401776612E-3,6.329937279E-2,4.561614990E-2,7.806031167E-2
1.230307890E0,1.254046261E-1,-6.665144861E-2,4.920005798E-3,1.421018730E-1
1.238504506E0,-2.854691632E-2,-1.942143030E-2,-7.046699524E-3,3.523881895E-2
1.246678659E0,8.323865384E-2,9.019091725E-2,-9.083843231E-2,1.526915054E-1
1.254853159E0,-6.585748494E-2,1.824954450E-1,8.873271942E-2,2.133431304E-1
1.263028736E0,2.668824978E-2,1.552224159E-1,-5.012512207E-2,1.652839646E-1
1.271204390E0,-8.385305107E-2,-2.502613887E-2,-7.406234741E-2,1.146423705E-1
1.279379467E0,1.363376155E-2,-8.494056761E-3,5.522823334E-2,5.751683416E-2
1.287554736E0,-8.894215524E-2,-2.558634803E-2,-1.434898376E-1,1.707474793E-1
1.295729659E0,1.378365457E-1,1.369374841E-1,9.832763672E-2,2.177592984E-1
1.303906428E0,-3.624979407E-3,1.095953211E-1,-9.799194336E-2,1.470601776E-1
1.312083698E0,1.581192464E-1,6.542191654E-2,5.285167694E-2,1.790950111E-1
